Sl.No,Name,NRIC,Nationality,Age,Gender,Date(s) of Offence,Offence,Time of Offence,Monetary amount involved ,Statutory Provision,Penal Code Term Tenure,Penal Code Fine Guideline,Repeated Offender,Employment Status,Canning ,Jail term, Fine,Year
387,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,840,2019
388,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,4,1,1080,2011
389,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320,2019
390,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Unemployed,9,1,900,2018
391,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3600,2018
392,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Unemployed,0,5,1000,2019
393,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Employed,5,1,600,2018
394,Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,Yes,Employed,9,1,480,2018
395,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Unemployed,0,10,1800,2015
396,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,600,2017
397,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Employed,0,5,2400,2019
398,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,840,2019
399,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1250,Yes,Unemployed,0,8,1500,2017
400,Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Employed,7,1,0,2012
401,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1200,2011
402,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,4100,408,15,500,No,Employed,0,2,500,2013
403,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1200,2015
404,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Unemployed,0,5,960,2016
405,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,700,2019
406,Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,No,Unemployed,8,1,1000,2019
407,Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,Yes,Employed,0,8,1500,2019
408,Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,Yes,Unemployed,0,9,1440,2019
409,Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,No,Employed,0,10,1500,2019
410,Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,2,1080,2019
411,Xin Yi,S3456784L,Singaporean,27,Female,10/9/19,Misappropriation,,2500,"406 , 34",7,500,No,Unemployed,0,2,500,2019
412,Hui Jie,S3456784Z,Singaporean,28,Male,11/9/19,Outrage Modesty,,,354(1),2,1200,Yes,Employed,9,1,1440,2019
413,Hui Min,S3456784S,Singaporean,32,Female,12/9/19,Misappropriation,,4300,"406 , 34",7,1200,No,Employed,0,1,1200,2019
414,Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,6,1,840,2019
415,Jing Yi,S3456784R,Singaporean,43,Female,14/9/19,Misappropriation,,4500,"406 , 34",7,900,Yes,Employed,0,3,1080,2019
416,Yi Wei,S3456784Z,Singaporean,47,Male,15/9/19,Misappropriation,,5000,408,15,900,Yes,Unemployed,0,6,1080,2019
417,Sze Jie,S3456784S,Singaporean,51,Male,16/9/19,Outrage Modesty,,,354(1),2,500,No,Unemployed,5,1,500,2019
418,Hui Ting,S3456784P,Singaporean,53,Female,17/9/19,Misappropriation,,8000,408,15,1500,Yes,Employed,0,6,1800,2019
419,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,700,2019
420,Clement Lee,S4567895F,Singaporean,43,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,4,1,1080,2011
421,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Unemployed,0,8,1320,2019
422,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,No,Employed,9,1,500,2018
423,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,No,Employed,0,7,2000,2018
424,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,840,2019
425,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,1300,Yes,Employed,5,1,1560,2011
426,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Unemployed,0,8,1320,2019
427,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Employed,9,1,900,2018
428,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3600,2018
429,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Unemployed,0,5,1000,2019
430,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Unemployed,5,1,600,2018
431,Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,Yes,Employed,8,1,480,2018
432,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Employed,0,10,1800,2015
433,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,600,2017
434,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Employed,0,5,2400,2019
435,Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,Yes,Unemployed,8,1,1200,2019
436,Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,Yes,Employed,0,8,1500,2019
437,Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,No,Employed,0,9,1200,2019
438,Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,Yes,Unemployed,0,10,1800,2019
439,Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,No,Unemployed,8,2,900,2019
440,Xin Yi,S3456784L,Singaporean,27,Female,10/9/19,Misappropriation,,2800,"406 , 34",7,500,Yes,Employed,0,2,600,2019
441,Hui Jie,S3456784Z,Singaporean,35,Male,11/9/19,Outrage Modesty,,,354(1),2,1200,Yes,Employed,9,1,1440,2019
442,Hui Min,S3456784S,Singaporean,33,Female,12/9/19,Misappropriation,,4100,"406 , 34",7,1000,No,Unemployed,0,2,1000,2019
443,Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,6,1,700,2019
444,Jing Yi,S3456784R,Singaporean,43,Female,14/9/19,Misappropriation,,4500,"406 , 34",7,900,Yes,Unemployed,0,3,1080,2019
445,Yi Wei,S3456784Z,Singaporean,47,Male,15/9/19,Misappropriation,,5000,408,15,900,Yes,Employed,0,6,1080,2019
446,Sze Jie,S3456784S,Singaporean,51,Male,16/9/19,Outrage Modesty,,,354(1),2,500,No,Employed,5,1,500,2019
447,Hui Ting,S3456784P,Singaporean,56,Female,17/9/19,Misappropriation,,8200,408,15,1500,Yes,Unemployed,0,6,1800,2019
448,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1100,2019
449,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,Yes,Employed,8,1,600,2018
450,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,No,Employed,0,6,3000,2018
451,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,840,2019
452,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,4,1,1080,2011
453,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320,2019
454,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,No,Employed,8,1,500,2018
455,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Employed,0,7,2400,2018
456,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,No,Unemployed,0,5,1000,2019
457,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Employed,5,1,600,2018
458,Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,Yes,Unemployed,9,1,480,2018
459,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Employed,0,10,1800,2015
460,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,600,2017
461,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Employed,0,5,2400,2019
462,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,840,2019
463,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1200,Yes,Unemployed,0,8,1440,2017
464,Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Employed,8,1,0,2012
465,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1200,2011
466,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,2900,408,15,500,No,Employed,0,2,500,2013
467,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1200,2015
468,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Unemployed,0,5,960,2016
469,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Unemployed,5,0.5,700,2019
470,Jun Jie,S3456784H,Singaporean,33,Male,5/9/19,Outrage Modesty,,,354(1),2,1000,No,Employed,8,1,1000,2019
471,Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,Yes,Employed,0,8,1500,2019
472,Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,Yes,Unemployed,0,9,1440,2019
473,Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,Yes,Unemployed,0,10,1800,2019
474,Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,No,Employed,8,2,900,2019
475,Xin Yi,S3456784L,Singaporean,27,Female,10/9/19,Misappropriation,,3200,"406 , 34",7,500,Yes,Employed,0,2,600,2019
476,Hui Jie,S3456784Z,Singaporean,45,Male,11/9/19,Outrage Modesty,,,354(1),2,900,No,Unemployed,9,2,900,2019
477,Hui Min,S3456784S,Singaporean,36,Female,12/9/19,Misappropriation,,4000,"406 , 34",7,1200,Yes,Employed,0,1,1440,2019
478,Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,6,1,840,2019
479,Jing Yi,S3456784R,Singaporean,43,Female,14/9/19,Misappropriation,,4500,"406 , 34",7,900,No,Employed,0,3,900,2019
480,Yi Wei,S3456784Z,Singaporean,47,Male,15/9/19,Misappropriation,,5000,408,15,900,No,Employed,0,6,900,2019
481,Sze Jie,S3456784S,Singaporean,51,Male,16/9/19,Outrage Modesty,,,354(1),2,500,Yes,Unemployed,5,1,600,2019
482,Hui Ting,S3456784P,Singaporean,57,Female,17/9/19,Misappropriation,,7500,408,15,1200,Yes,Unemployed,0,7,1440,2019
483,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,700,2019
484,Clement Lee,S4567895F,Singaporean,48,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,6,1,1080,2011
485,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1100,2019
486,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,1,1080,2018
487,Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,No,Unemployed,0,8,1250,2019
488,Zhi Hao,S3456784Z,Singaporean,44,Male,7/9/19,Misappropriation,,12500,408,15,1200,Yes,Employed,0,9,1440,2019
489,Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,Yes,Employed,0,10,1800,2019
490,Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,No,Unemployed,8,2,900,2019
491,Xin Yi,S3456784L,Singaporean,27,Female,10/9/19,Misappropriation,,3300,"406 , 34",7,500,No,Unemployed,0,2,500,2019
492,Hui Jie,S3456784Z,Singaporean,35,Male,11/9/19,Outrage Modesty,,,354(1),2,1200,Yes,Employed,9,1,1440,2019
493,Hui Min,S3456784S,Singaporean,37,Female,12/9/19,Misappropriation,,4450,"406 , 34",7,1250,Yes,Employed,0,1,1500,2019
494,Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,6,1,840,2019
495,Jing Yi,S3456784R,Singaporean,43,Female,14/9/19,Misappropriation,,4500,"406 , 34",7,900,No,Employed,0,3,900,2019
496,Yi Wei,S3456784Z,Singaporean,47,Male,15/9/19,Misappropriation,,5000,408,15,900,Yes,Unemployed,0,6,1080,2019
497,Sze Jie,S3456784S,Singaporean,51,Male,16/9/19,Outrage Modesty,,,354(1),2,500,No,Employed,5,1,500,2019
498,Hui Ting,S3456784P,Singaporean,58,Female,17/9/19,Misappropriation,,8000,408,15,1000,Yes,Employed,0,7,1200,2019
499,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,840,2019
500,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,500,No,Unemployed,4,1,500,2011
501,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1100,2019
502,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,Yes,Employed,14,1,600,2018
503,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Unemployed,0,6,3600,2018
504,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,840,2019
505,Clement Lee,S4567895F,Singaporean,49,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Employed,4,1,900,2011
506,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320,2019
507,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Employed,8,1,900,2018
508,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Unemployed,0,7,2400,2018
509,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,Yes,Employed,0,5,1200,2019
510,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,No,Unemployed,5,1,500,2018
511,Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,No,Employed,8,1,400,2018
512,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Unemployed,0,10,2160,2015
