Sl. No,Name,NRIC,Nationality,Age,Gender,Date(s) of Offence,Offence,Time of Offence,Monetary amount involved ,Statutory Provision,Penal Code Term Tenure,Penal Code Fine Guideline,Repeated Offender,Employment Status,Canning ,Jail term,Fine
403,Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,Yes,Employed,0,8,1.5
404,Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,Yes,Unemployed,0,8,1.5
405,Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,No,Employed,0,10,1.5
406,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1250,Yes,Unemployed,0,8,1.5
407,Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,Yes,Employed,0,8,1.5
408,Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,Yes,Unemployed,0,8,1.5
409,Yi Ling,S3456784L,Singaporean,43,Female,6/9/19,Misappropriation,,10000,408,15,1250,Yes,Employed,0,8,1.5
410,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,1300,Yes,Employed,5,1,1.56
411,Charles Kow,S1234568K,Singaporean,38,Male,4/10/15,Misappropriation,,10000,408,15,1300,Yes,Unemployed,0,7,1.56
412,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1300,Yes,Employed,0,8,1.56
413,Hui Ting,S3456784P,Singaporean,54,Female,17/9/19,Misappropriation,,7100,408,15,1600,No,Employed,0,6,1.6
414,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1350,Yes,Employed,0,8,1.62
415,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1400,Yes,Employed,0,8,1.68
416,Hui Ting,S3456784P,Singaporean,53,Female,17/9/19,Misappropriation,,8000,408,15,1500,Yes,Employed,0,6,1.8
417,Hui Ting,S3456784P,Singaporean,56,Female,17/9/19,Misappropriation,,7200,408,15,1500,Yes,Employed,0,6,1.8
418,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Employed,0,10,1.8
419,Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,Yes,Unemployed,0,10,1.8
420,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Unemployed,0,10,1.8
421,Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,Yes,Unemployed,0,10,1.8
422,Hui Ting,S3456784P,Singaporean,56,Female,17/9/19,Misappropriation,,8200,408,15,1500,Yes,Unemployed,0,6,1.8
423,Sergey Brian,S45995978Y,Singaporean,65,Male,13/9/14,Misappropriation,,24000,408,15,1800,No,Employed,0,10,1.8
424,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Employed,0,10,1.8
425,Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,Yes,Employed,0,10,1.8
426,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Unemployed,0,10,1.8
427,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Employed,0,10,1.8
428,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Unemployed,0,10,1.8
429,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1500,Yes,Employed,0,6,1.8
430,Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,Yes,Employed,0,10,1.8
431,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Unemployed,0,10,1.8
432,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Unemployed,0,10,1.8
433,Jia Hui,S3456784S,Singaporean,35,Female,8/9/19,Misappropriation,,14000,408,15,1500,Yes,Unemployed,0,10,1.8
434,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,No,Unemployed,0,5,2
435,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,No,Unemployed,0,5,2
436,Clement Lee,S4567895F,Singaporean,61,Male,3/4/11,Outrage Modesty,,,354(1),2,2000,No,Employed,6,1,2
437,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,No,Employed,0,7,2
438,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,No,Employed,0,5,2
439,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,No,Employed,0,7,2
440,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,No,Employed,0,5,2
441,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,22000,"406 , 34",7,2000,No,Unemployed,0,5,2
442,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,11000,"406 , 34",7,2000,No,Unemployed,0,7,2
443,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,22000,"406 , 34",7,2000,No,Employed,0,5,2
444,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,No,Unemployed,0,5,2
445,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,No,Unemployed,0,7,2
446,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,22000,"406 , 34",7,2000,No,Employed,0,5,2
447,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,22000,"406 , 34",7,2000,No,Unemployed,0,5,2
448,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,No,Employed,0,7,2
449,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Unemployed,0,10,2.16
450,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Unemployed,0,10,2.16
451,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2.16
452,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2.16
453,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2.16
454,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2.16
455,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2.16
456,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2.16
457,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Unemployed,0,10,2.16
458,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Unemployed,0,10,2.16
459,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2.16
460,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2.16
461,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2.16
462,Sergey Brian,S45995978Y,Singaporean,65,Male,13/9/14,Misappropriation,,24000,408,15,1800,Yes,Unemployed,0,10,2.16
463,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2.16
464,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Unemployed,0,10,2.16
465,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Employed,0,7,2.4
466,Kian Doman,S8763456K,Singaporean,44,Male,12/9/14,Misappropriation,,24000,408,15,2000,Yes,Unemployed,0,11,2.4
467,Heng Swee Chan,S45995967Y,Malaysian,34,Male,14/9/14,Misappropriation,,23000,"406 , 34",7,2000,Yes,Employed,0,6,2.4
468,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Unemployed,0,7,2.4
469,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Employed,0,7,2.4
470,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Unemployed,0,5,2.4
471,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,11000,"406 , 34",7,2000,Yes,Unemployed,0,7,2.4
472,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Unemployed,0,5,2.4
473,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Employed,0,5,2.4
474,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Employed,0,5,2.4
475,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,11000,"406 , 34",7,2000,Yes,Employed,0,7,2.4
476,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Employed,0,5,2.4
477,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Employed,0,7,2.4
478,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Unemployed,0,7,2.4
479,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Employed,0,7,2.4
480,Kian Doman,S8763456K,Singaporean,44,Male,12/9/14,Misappropriation,,24000,408,15,2000,Yes,Employed,0,11,2.4
481,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Employed,0,7,2.4
482,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,22000,"406 , 34",7,2000,Yes,Employed,0,5,2.4
483,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Employed,0,5,2.4
484,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Unemployed,0,7,2.4
485,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Unemployed,0,5,2.4
486,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Unemployed,0,5,2.4
487,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Employed,0,7,2.4
488,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Unemployed,0,5,2.4
489,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,11000,"406 , 34",7,2000,Yes,Employed,0,7,2.4
490,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,22000,"406 , 34",7,2000,Yes,Unemployed,0,5,2.4
491,Clement Lee,S4567895F,Singaporean,40,Male,3/4/11,Outrage Modesty,,,354(1),2,2100,Yes,Employed,3,1,2.52
492,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,No,Employed,0,6,3
493,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,No,Employed,0,6,3
494,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,No,Unemployed,0,6,3
495,Heng Swee Chan,S45995967Y,Malaysian,34,Male,14/9/14,Misappropriation,,23000,"406 , 34",7,2500,Yes,Unemployed,0,5,3
496,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,No,Unemployed,0,6,3
497,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3.6
498,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3.6
499,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3.6
500,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3.6
501,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3.6
502,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Unemployed,0,6,3.6
503,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3.6
504,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Unemployed,0,6,3.6
505,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3.6
506,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,11000,"406 , 34",7,3000,Yes,Employed,0,6,3.6
507,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,11000,"406 , 34",7,3000,Yes,Unemployed,0,6,3.6
508,Tan Ah Kow,S1234567X,Singaporean,51,Male,10/01/2016-04/04/2016,Misappropriation,,35000,408,15,5000,No,Employed,0,12,5
509,Tan Ah Kow,S1234567X,Singaporean,51,Male,10/01/2016-04/04/2016,Misappropriation,,35000,408,15,5000,No,Unemployed,0,12,5
510,Tan Ah Kow,S1234567X,Singaporean,51,Male,10/01/2016-04/04/2016,Misappropriation,,35000,408,15,5000,Yes,Employed,0,12,6
511,Tan Ah Kow,S1234567X,Singaporean,51,Male,10/01/2016-04/04/2016,Misappropriation,,35000,408,15,5000,Yes,Employed,0,12,6
512,Tan Ah Kow,S1234567X,Singaporean,51,Male,10/01/2016-04/04/2016,Misappropriation,,35000,408,15,5000,Yes,Unemployed,0,12,6
